"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","231.60","229.01","232.71","228.02","33.68M","1.08%"
"08/27/2025","229.12","228.57","229.87","227.81","21.25M","0.18%"
"08/26/2025","228.71","227.11","229.00","226.02","26.11M","0.34%"
"08/25/2025","227.94","227.35","229.60","227.31","22.63M","-0.39%"
"08/22/2025","228.84","222.79","229.14","220.82","37.32M","3.10%"
"08/21/2025","221.95","222.65","222.78","220.50","32.14M","-0.83%"
"08/20/2025","223.81","227.12","227.27","220.91","36.60M","-1.84%"
"08/19/2025","228.01","230.09","230.53","227.12","29.89M","-1.50%"
"08/18/2025","231.49","230.23","231.91","228.33","25.25M","0.20%"
"08/15/2025","231.03","232.58","234.08","229.81","39.65M","0.02%"
"08/14/2025","230.98","227.40","233.11","227.02","61.55M","2.86%"
"08/13/2025","224.56","222.00","224.92","222.00","36.51M","1.40%"
"08/12/2025","221.47","222.23","223.50","219.05","37.25M","0.08%"
"08/11/2025","221.30","221.78","223.05","220.40","31.65M","-0.62%"
"08/08/2025","222.69","223.14","223.80","221.88","32.97M","-0.20%"
"08/07/2025","223.13","221.00","226.22","220.82","40.60M","0.37%"
"08/06/2025","222.31","214.70","222.65","213.74","54.82M","4.00%"
"08/05/2025","213.75","213.05","216.30","212.87","51.51M","0.99%"
"08/04/2025","211.65","217.40","217.44","211.42","77.89M","-1.44%"
"08/01/2025","214.75","217.21","220.44","212.80","122.26M","-8.27%"
"07/31/2025","234.11","235.77","236.53","231.40","104.36M","1.70%"
"07/30/2025","230.19","231.64","231.80","229.29","32.99M","-0.35%"
"07/29/2025","231.01","234.15","234.72","230.31","33.72M","-0.76%"
