"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","180.17","180.82","184.47","176.41","281.79M","-0.79%"
"08/27/2025","181.60","181.98","182.49","179.10","235.52M","-0.09%"
"08/26/2025","181.77","180.05","182.39","178.81","168.69M","1.09%"
"08/25/2025","179.81","178.35","181.91","176.57","163.01M","1.02%"
"08/22/2025","177.99","172.61","178.59","171.20","172.79M","1.72%"
"08/21/2025","174.98","174.85","176.90","173.81","140.04M","-0.24%"
"08/20/2025","175.40","175.16","176.00","168.80","215.14M","-0.14%"
"08/19/2025","175.64","182.43","182.50","175.49","185.23M","-3.50%"
"08/18/2025","182.01","180.60","182.94","180.59","132.01M","0.86%"
"08/15/2025","180.45","181.88","181.90","178.04","156.60M","-0.86%"
"08/14/2025","182.02","179.75","183.02","179.46","129.55M","0.24%"
"08/13/2025","181.59","182.62","183.97","179.35","179.87M","-0.86%"
"08/12/2025","183.16","182.96","184.48","179.46","145.73M","0.60%"
"08/11/2025","182.06","182.05","183.84","180.25","138.32M","-0.35%"
"08/08/2025","182.70","181.55","183.30","180.40","123.40M","1.07%"
"08/07/2025","180.77","181.57","183.88","178.79","151.88M","0.75%"
"08/06/2025","179.42","176.32","179.90","176.25","137.19M","0.65%"
"08/05/2025","178.26","179.62","180.26","175.90","156.41M","-0.97%"
"08/04/2025","180.00","175.16","180.20","174.52","148.17M","3.62%"
"08/01/2025","173.72","174.09","176.54","170.89","204.53M","-2.33%"
"07/31/2025","177.87","182.90","183.30","175.93","221.69M","-0.78%"
"07/30/2025","179.27","176.51","179.89","176.04","174.31M","2.14%"
"07/29/2025","175.51","177.96","179.38","175.02","154.08M","-0.70%"
