"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","158.12","157.63","158.23","152.55","57.89M","0.89%"
"08/27/2025","156.72","162.32","162.40","155.98","76.38M","-2.58%"
"08/26/2025","160.87","155.39","162.13","154.57","86.57M","2.35%"
"08/25/2025","157.17","156.10","158.59","149.37","86.88M","-0.99%"
"08/22/2025","158.74","155.32","163.20","151.77","102.10M","1.64%"
"08/21/2025","156.18","157.17","157.97","153.81","94.68M","0.11%"
"08/20/2025","156.01","152.30","156.46","142.34","220.34M","-1.10%"
"08/19/2025","157.75","171.36","172.30","156.90","137.92M","-9.35%"
"08/18/2025","174.03","175.27","177.90","171.39","62.66M","-1.77%"
"08/15/2025","177.17","179.73","180.00","173.38","60.29M","-2.13%"
"08/14/2025","181.02","182.41","185.33","179.20","53.47M","-1.82%"
"08/13/2025","184.37","189.00","189.46","183.59","53.61M","-1.39%"
"08/12/2025","186.97","184.70","190.00","182.10","54.98M","2.35%"
"08/11/2025","182.68","186.47","187.18","181.92","56.13M","-2.29%"
"08/08/2025","186.96","184.74","187.99","184.41","62.66M","2.61%"
"08/07/2025","182.20","181.01","184.48","178.17","77.83M","1.48%"
"08/06/2025","179.54","171.18","180.58","171.01","82.92M","3.62%"
"08/05/2025","173.27","171.81","176.33","169.22","130.92M","7.85%"
"08/04/2025","160.66","158.53","161.40","157.93","82.99M","4.14%"
"08/01/2025","154.27","155.05","158.19","151.06","61.29M","-2.58%"
"07/31/2025","158.35","159.99","160.89","156.73","45.34M","-0.16%"
"07/30/2025","158.61","157.37","159.38","156.56","40.26M","1.52%"
"07/29/2025","156.24","158.71","160.14","154.91","42.43M","-1.04%"
