"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","345.98","350.91","353.55","340.26","67.90M","-1.04%"
"08/27/2025","349.60","351.94","355.39","349.16","65.52M","-0.59%"
"08/26/2025","351.67","344.93","351.90","343.72","76.65M","1.46%"
"08/25/2025","346.60","338.90","349.53","335.03","86.67M","1.94%"
"08/22/2025","340.01","321.66","340.25","319.69","94.02M","6.22%"
"08/21/2025","320.11","322.08","324.90","318.68","55.74M","-1.17%"
"08/20/2025","323.90","329.22","331.37","314.60","77.48M","-1.64%"
"08/19/2025","329.31","335.79","340.55","327.85","75.96M","-1.75%"
"08/18/2025","335.16","329.62","336.27","329.59","56.96M","1.39%"
"08/15/2025","330.56","337.65","339.30","327.02","74.32M","-1.50%"
"08/14/2025","335.58","335.76","340.47","330.40","75.00M","-1.12%"
"08/13/2025","339.38","341.50","348.98","338.20","67.84M","-0.43%"
"08/12/2025","340.84","345.00","345.26","332.94","80.69M","0.53%"
"08/11/2025","339.03","335.00","346.64","334.15","105.32M","2.85%"
"08/08/2025","329.65","321.43","335.15","320.98","91.20M","2.29%"
"08/07/2025","322.27","319.79","322.40","316.16","66.66M","0.74%"
"08/06/2025","319.91","307.89","320.47","306.93","78.52M","3.62%"
"08/05/2025","308.72","308.95","312.45","305.50","57.96M","-0.17%"
"08/04/2025","309.26","309.08","312.12","303.00","78.68M","2.19%"
"08/01/2025","302.63","306.20","309.31","297.82","89.12M","-1.83%"
"07/31/2025","308.27","319.61","321.37","306.10","85.27M","-3.38%"
"07/30/2025","319.04","322.18","324.45","311.62","83.93M","-0.67%"
"07/29/2025","321.20","325.55","326.25","318.25","87.36M","-1.35%"
